dataset_source,family,re_tau,re_theta,Re
UT-Austin,channel,150.0,,
UT-Austin,channel,180.0,,
UT-Austin,channel,240.0,,
UT-Austin,channel,300.0,,
UT-Austin,channel,420.0,,
UT-Austin,channel,550.0,,
UT-Austin,channel,750.0,,
UT-Austin,channel,1000.0,,
UT-Austin,channel,1500.0,,
UT-Austin,channel,2000.0,,
UT-Austin,couette,90.0,,
UT-Austin,couette,110.0,,
UT-Austin,couette,150.0,,
UT-Austin,couette,190.0,,
UT-Austin,couette,220.0,,
UT-Austin,couette,260.0,,
UT-Austin,couette,350.0,,
UT-Austin,couette,420.0,,
UT-Austin,couette,500.0,,
UT-Austin,couette,650.0,,
JHTDB,channel,1000.0,,
JHTDB,channel,5200.0,,
JHTDB,flat_plate,,300.0,
JHTDB,flat_plate,,1000.0,
JAXA,flat_plate,,500.0,
JAXA,flat_plate,,800.0,
ModelFLOWs,cylinder,,,100.0
ModelFLOWs,cylinder,,,280.0
Stanford-CTR,flat_plate,,300.0,
Stanford-CTR,flat_plate,,1200.0,
JAXA,flat_plate,,500.0,
JAXA,flat_plate,,900.0,
Nottingham-NTU,channel,704.0,,
